DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.027252230793237686)" 
1, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.055906444787979126)" 
1, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.18437016010284424)" 
1, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.23793524503707886)" 
1, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.032288491725921631)" 
1, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.0099225323647260666)" 
1, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.014409177005290985)" 
1, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.011234057135879993)" 
1, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.0091218706220388412)" 
1, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.0090840766206383705)" 
1, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.018635481595993042)" 
1, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.061456717550754547)" 
1, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.938414+((1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18)))))))-0.079311750829219818)" 
1, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.938414+(1.64274e-05*(log(x+19)*(log(x+18)*(3-(-(13.223*log(x+18))))))))+0.096865475177764893" 
